Entity,Code,Year,$10 - total number of people above poverty line,$5.50-$10 - total number of people between poverty lines,$3.20-$5.50 - total number of people between poverty lines,$1.90-$3.20 - total number of people between poverty lines,$1.90 - total number of people below poverty line
Albania,ALB,1996,437974,1316533,1059525,324834,29167
Albania,ALB,2002,447329,1088255,1084254,383245,47927
Albania,ALB,2005,602685,1248017,898313,236557,25915
Albania,ALB,2008,711746,1318648,762170,145506,9244
Albania,ALB,2012,665067,1233857,822162,154669,24646
Albania,ALB,2014,820919,998239,734359,289913,45674
Albania,ALB,2015,1089615,1086434,569527,128066,7061
Albania,ALB,2016,1156221,1032391,530379,145308,11802
Albania,ALB,2017,1135578,1053174,561585,110808,12312
Albania,ALB,2018,1354452,1028604,388026,91832,3462
Albania,ALB,2019,1602798,967057,250126,34210,0
Algeria,DZA,1988,3197961,7301692,7963324,4452555,1527940
Algeria,DZA,1995,4167106,8891340,8929630,5152342,1617370
Algeria,DZA,2011,8545862,17632916,9109834,1208082,164744
Angola,AGO,2000,1136704,2052427,3421753,3820824,5963769
Angola,AGO,2008,954286,2751084,4841720,5675081,7473465
Angola,AGO,2018,969427,2579497,5236540,6649329,15374994
Argentina - urban,,1980,17589130,3787148,1333404,301956,110960
Argentina - urban,,1986,20488402,4067099,1072804,281243,321182
Argentina - urban,,1987,19284708,4725628,1887348,489044,382906
Argentina - urban,,1991,15580322,7822259,3893352,1221080,370218
Argentina - urban,,1992,16244816,7713339,3600579,1070857,722646
Argentina - urban,,1993,17072676,7417881,3224319,1254479,840090
Argentina - urban,,1994,16776495,7237433,4200844,1236478,809338
Argentina - urban,,1995,15567431,7597575,4416450,1612222,1512228
Argentina - urban,,1996,15414184,7537408,4447498,2095319,1651404
Argentina - urban,,1997,16328369,7313864,4406132,2008910,1522378
Argentina - urban,,1998,15535637,7559198,4903645,2226272,1784806
Argentina - urban,,1999,15466913,7731781,5002078,2443908,1793640
Argentina - urban,,2000,15069196,7449762,5397647,2718502,2232258
Argentina - urban,,2001,13568989,7437588,5895796,2839507,3556080
Argentina - urban,,2002,9050587,7863030,6609236,4492056,5714019
Argentina - urban,,2003,14342057,8307509,5589281,3232811,2687826
Argentina - urban,,2004,16447221,8028939,5303339,2823371,1986014
Argentina - urban,,2005,18315862,7943207,4848690,2448072,1459857
Argentina - urban,,2006,20666919,7571805,4085233,1959737,1155774
Argentina - urban,,2007,21385198,7576036,4319058,1646639,934186
Argentina - urban,,2008,22519703,7556487,3675377,1630872,902129
Argentina - urban,,2009,23732774,7249526,3479421,1392568,859954
Argentina - urban,,2010,24363130,7478739,3387049,1292603,534381
Argentina - urban,,2011,26033765,7146900,3117239,819653,426273
Argentina - urban,,2012,26716853,7255518,2725731,890241,439431
Argentina - urban,,2013,27187565,7165503,2915656,849824,391208
Argentina - urban,,2014,25941875,8449638,3182669,1053771,362156
Argentina - urban,,2016,27426962,7916120,3173760,995990,427714
Argentina - urban,,2017,28937170,7504435,2714476,883406,371187
Argentina - urban,,2018,27541408,8273958,3417025,1084761,559947
Argentina - urban,,2019,26614722,8733732,4019575,1434003,537539
Argentina - urban,,2020,24462321,9731972,5160167,1756884,685646
Armenia,ARM,1996,387181,700982,917798,711854,450398
Armenia,ARM,1999,159926,513285,1030632,1007955,377222
Armenia,ARM,2001,164942,415212,1024497,1007923,438112
Armenia,ARM,2002,164649,451202,1090483,1008634,319008
Armenia,ARM,2003,137778,499171,1183198,960838,236953
Armenia,ARM,2004,269883,686708,1172582,707233,164309
Armenia,ARM,2005,312535,842395,1245657,500601,80074
Armenia,ARM,2006,287087,1018857,1193396,395594,63367
Armenia,ARM,2007,433898,1080329,1014162,356468,47758
Armenia,ARM,2008,434040,1151059,1051924,244633,25959
Armenia,ARM,2009,306867,1012139,1168153,362387,38548
Armenia,ARM,2010,308445,987479,1175468,377884,28038
Armenia,ARM,2011,345222,1056940,1096266,343334,34774
Armenia,ARM,2012,350578,1140970,1067853,298390,26448
Armenia,ARM,2013,443028,1119467,1005666,278229,51203
Armenia,ARM,2014,432613,1172291,975127,287472,44900
Armenia,ARM,2015,496268,1265047,887414,239948,36882
Armenia,ARM,2016,673831,1159793,821356,247020,34147
Armenia,ARM,2017,528741,1194427,983186,212497,25938
Armenia,ARM,2018,504559,1192975,975873,236728,41606
Armenia,ARM,2019,389123,1266600,1010799,259292,31914
Armenia,ARM,2020,324338,1314420,1121058,191917,11501
Australia,AUS,1981,14292788,373337,74849,37726,148300
Australia,AUS,1985,15126115,367692,53508,52899,157786
Australia,AUS,1989,16059063,503207,84806,42179,125145
Australia,AUS,1995,17360060,395722,95450,85267,135501
Australia,AUS,2001,18783095,343208,94107,47495,145095
Australia,AUS,2003,19298642,298535,51266,48534,198423
Australia,AUS,2004,19726593,200359,57033,42924,100491
Australia,AUS,2008,20965500,141447,0,65494,76759
Australia,AUS,2010,21662559,219893,0,72370,76928
Australia,AUS,2014,23128671,172258,0,57735,117022
Australia,AUS,2016,23830307,179776,60174,0,120650
Australia,AUS,2018,24545588,252669,0,60244,124187
Austria,AUT,1987,7556430,18156,0,0,0
Austria,AUT,1994,7782409,95570,20854,17572,19713
Austria,AUT,1995,7531020,258686,59497,20067,79008
